State,Average Temperature,Avg Temp Uncertainty
Alabama,17.066137864700224,1.4396453991663996
Alaska,-4.89073757547608,1.6711221551323734
Arizona,15.381526119402984,0.7250069962686567
Arkansas,15.573962530079065,1.3202052251632863
California,14.327677288821446,0.5799600404653515
Colorado,6.931333907056799,0.842171256454389
Connecticut,9.020079512664315,1.373848990060917
Delaware,11.8952375761462,1.406046168643796
District Of Columbia,11.918474511061238,1.3857845463289515
Florida,21.501561590688652,1.3768338182993858
Georgia (State),17.52708207758897,1.4428739980763063
Hawaii,22.439282705807276,0.4038608806636886
Idaho,5.3342550482879725,0.8789820017559262
Illinois,10.866111747851004,1.519635148042025
Indiana,10.874955755049696,1.476709201667201
Iowa,8.64780770455269,1.6377943330149634
Kansas,12.165647864625303,0.9992437550362611
Kentucky,12.95079448541199,1.4746380250080153
Louisiana,19.128862385321103,0.9698619864379736
Maine,4.349941968579673,1.398980763065085
Maryland,12.137859249759538,1.3702744469381214
Massachusetts,7.6252263546008345,1.386798012183392
Michigan,6.555493155046164,1.3951645972620186
Minnesota,4.4728124801018785,1.7427281120662208
Mississippi,17.53740701271915,1.2985214850464077
Missouri,12.301072779737096,1.54107694773966
Montana,4.9864820287539935,1.2473286741214058
Nebraska,9.016576677316294,1.0555235623003194
Nevada,9.814444803695151,0.7961131639722864
New Hampshire,5.612321898044245,1.3859012504007695
New Jersey,10.625895479320294,1.3615982686758576
New Mexico,11.857086825053996,0.8256237580993521
New York,7.183618467457519,1.3355623597306827
North Carolina,14.780251683231807,1.4104639307470344
North Dakota,4.169714856230032,1.248401357827476
Ohio,10.320151651170248,1.4275238858608528
Oklahoma,15.381547314578006,0.8247975277067349
Oregon,8.165825389550871,0.7616076993583868
Pennsylvania,9.110052260339852,1.3445860852837448
Rhode Island,8.973099070214813,1.377648284706637
South Carolina,17.034756973388905,1.4540182750881692
South Dakota,6.947362619808307,1.1456713258785942
Tennessee,14.056290157101635,1.4569955113818531
Texas,18.107233978494627,0.794785376344086
Utah,8.478840671811167,0.8109927371765774
Vermont,5.398153895479321,1.3771654376402693
Virginia,12.804781660788715,1.390407502404617
Washington,7.643112282309808,0.7355087076076994
West Virginia,10.950278294325104,1.422034947098429
Wisconsin,5.946672397325693,1.5447016873607133
Wyoming,5.09900165906263,1.0178000829531315
