City,Country,Gases Included,Emissions Column Number,Emissions Column Name,Emissions Row Number,Emissions Row Name,Emissions Response Answer,Emissions Description,Emissions Data Reported,Inventory Year,Population in inventory year,City_Location,Last update,Organization Name
Santa Monica,United States of America,CH4; CO2; HFCs; N2O; PFCs,1,Direct emissions (metric tonnes CO2e)^,4,Stationary energy > Industrial buildings & facilities^,0,0401 Stationary energy > Industrial buildings & facilities^ - Direct,1,2020,91105,POINT (-118.481 34.0219),04/02/2023 4:08:42 AM,"City of Santa Monica, CA"
,United States of America,,3,"Indirect emissions from the use of grid-supplied electricity, heat, steam and/or cooling (metric tonnes CO2e)^",31,Total Emissions (excluding generation of grid-supplied energy),0,3103 Total Emissions (excluding generation of grid-supplied energy) - Indirect,0,,0,,04/02/2023 4:08:42 AM,"City of Urbana, IL"
Roanoke,United States of America,CH4; CO2; N2O,1,Direct emissions (metric tonnes CO2e)^,26,Generation of grid-supplied energy > Electricity-only generation^,0,2601 Generation of grid-supplied energy > Electricity-only generation^ - Direct,1,2019,99229,POINT (-79.9414 37.271),04/02/2023 4:08:42 AM,"City of Roanoke, VA"
Bloomington,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),19,IPPU > Industrial process,0,1905 IPPU > Industrial process - Outside Boundary,0,2018,85000,POINT (-86.5264 39.1653),04/02/2023 4:08:42 AM,"City of Bloomington, IN"
,United States of America,CH4; CO2; N2O,1,Direct emissions (metric tonnes CO2e)^,15,Waste > Biological treatment^,0,1501 Waste > Biological treatment^ - Direct,1,2020,54583,,04/02/2023 4:08:42 AM,"Village of Oak Park, IL"
South Bend,United States of America,CH4; CO2; N2O,3,"Indirect emissions from the use of grid-supplied electricity, heat, steam and/or cooling (metric tonnes CO2e)^",10,Transportation > Waterborne navigation^,0,1003 Transportation > Waterborne navigation^ - Indirect,1,2021,103453,POINT (41.6754 -86.2532),04/02/2023 4:08:42 AM,"City of South Bend, IN"
Seattle,United States of America,CH4; CO2; N2O; SF6,3,"Indirect emissions from the use of grid-supplied electricity, heat, steam and/or cooling (metric tonnes CO2e)^",9,Transportation > Rail^,0,0903 Transportation > Rail^ - Indirect,1,2018,744955,POINT (-122.332 47.6062),04/02/2023 4:08:42 AM,"City of Seattle, WA"
,United States of America,CH4; CO2; N2O,1,Direct emissions (metric tonnes CO2e)^,31,Total Emissions (excluding generation of grid-supplied energy),11916461,3101 Total Emissions (excluding generation of grid-supplied energy) - Direct,1,2020,1253889,,04/02/2023 4:08:42 AM,"Cuyahoga County, OH"
Wichita,United States of America,CH4; N2O,1,Emissions (metric tonnes CO2e),3,Total Scope 2 emissions,0,0301 Total Scope 2 emissions,0,2014,388416,,04/02/2023 4:08:42 AM,"City of Wichita, KS"
Honolulu,United States of America,CH4; CO2; HFCs; N2O; NF3; PFCs; SF6,1,Direct emissions (metric tonnes CO2e)^,12,Transportation > Off-road^,271351,1201 Transportation > Off-road^ - Direct,1,2020,1016410,POINT (157.59 21.28),04/02/2023 4:08:42 AM,"City and County of Honolulu, HI"
Philadelphia,United States of America,CH4; CO2; HFCs; N2O; PFCs; SF6,1,Direct emissions (metric tonnes CO2e)^,12,Transportation > Off-road^,0,1201 Transportation > Off-road^ - Direct,1,2019,1584064,POINT (-75.1638 39.9523),04/02/2023 4:08:42 AM,"City of Philadelphia, PA"
Ann Arbor,United States of America,CH4; CO2; N2O,1,Direct emissions (metric tonnes CO2e)^,6,Stationary energy > Fugitive emissions^,17067,0601 Stationary energy > Fugitive emissions^ - Direct,1,2021,121536,POINT (-83.743 42.2808),04/02/2023 4:08:42 AM,"City of Ann Arbor, MI"
Roanoke,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),4,Stationary energy > Industrial buildings & facilities^,0,0405 Stationary energy > Industrial buildings & facilities^ - Outside Boundary,0,2019,99229,POINT (-79.9414 37.271),04/02/2023 4:08:42 AM,"City of Roanoke, VA"
Piedmont,United States of America,CH4; CO2; HFCs; N2O; NF3; PFCs; SF6,1,Direct emissions (metric tonnes CO2e)^,18,Total Waste,469,1801 Total Waste - Direct,1,2020,11000,POINT (-122.232 37.8244),04/02/2023 4:08:42 AM,"City of Piedmont, CA"
Charlottesville,United States of America,CH4; CO2; N2O,3,"Indirect emissions from the use of grid-supplied electricity, heat, steam and/or cooling (metric tonnes CO2e)^",6,Stationary energy > Fugitive emissions^,0,0603 Stationary energy > Fugitive emissions^ - Indirect,1,2020,46553,POINT (-78.4767 38.0293),04/02/2023 4:08:42 AM,"City of Charlottesville, VA"
Spokane,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),22,AFOLU > Livestock,0,2205 AFOLU > Livestock - Outside Boundary,0,2016,215144,,04/02/2023 4:08:42 AM,"City of Spokane, WA"
West Palm Beach,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),22,AFOLU > Livestock,0,2205 AFOLU > Livestock - Outside Boundary,0,2018,111398,POINT (-80.0534 26.7153),04/02/2023 4:08:42 AM,"City of West Palm Beach, FL"
Eau Claire,United States of America,CH4; CO2; HFCs; N2O,1,Direct emissions (metric tonnes CO2e)^,23,AFOLU > Land use,0,2301 AFOLU > Land use - Direct,1,2020,69421,,04/02/2023 4:08:42 AM,"City of Eau Claire, WI"
Berkeley,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),16,Waste > Incineration and open burning^,0,1605 Waste > Incineration and open burning^ - Outside Boundary,1,2020,124321,,04/02/2023 4:08:42 AM,"City of Berkeley, CA"
Piedmont,United States of America,CH4; CO2; HFCs; N2O; NF3; PFCs; SF6,1,Direct emissions (metric tonnes CO2e)^,20,IPPU > Product use,0,2001 IPPU > Product use - Direct,1,2020,11000,POINT (-122.232 37.8244),04/02/2023 4:08:42 AM,"City of Piedmont, CA"
Bloomington,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),30,Total generation of grid-supplied energy,0,3005 Total generation of grid-supplied energy - Outside Boundary,0,2018,85000,POINT (-86.5264 39.1653),04/02/2023 4:08:42 AM,"City of Bloomington, IN"
Flagstaff,United States of America,CH4; CO2; N2O,3,"Indirect emissions from the use of grid-supplied electricity, heat, steam and/or cooling (metric tonnes CO2e)^",1,Stationary energy > Residential buildings^,75279,0103 Stationary energy > Residential buildings^ - Indirect,1,2021,76338,POINT (-111.631 35.1992),04/02/2023 4:08:42 AM,"City of Flagstaff, AZ"
Berkeley,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),20,IPPU > Product use,0,2005 IPPU > Product use - Outside Boundary,0,2020,124321,,04/02/2023 4:08:42 AM,"City of Berkeley, CA"
Providence,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),27,Generation of grid-supplied energy > CHP generation^,0,2705 Generation of grid-supplied energy > CHP generation^ - Outside Boundary,1,2018,179435,POINT (-71.4128 41.824),04/02/2023 4:08:42 AM,"City of Providence, RI"
,United States of America,CH4; CO2; N2O,3,"Indirect emissions from the use of grid-supplied electricity, heat, steam and/or cooling (metric tonnes CO2e)^",9,Transportation > Rail^,0,0903 Transportation > Rail^ - Indirect,1,2019,4254028,,04/02/2023 4:08:42 AM,East Central Florida Regional Planning Council
Oakland,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),28,Generation of grid-supplied energy > Heat/cold generation^,0,2805 Generation of grid-supplied energy > Heat/cold generation^ - Outside Boundary,1,2019,433044,POINT (-122.271 37.8044),04/02/2023 4:08:42 AM,"City of Oakland, CA"
Milwaukee,United States of America,CO2,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),29,Generation of grid-supplied energy > Local renewable generation,0,2905 Generation of grid-supplied energy > Local renewable generation - Outside Boundary,1,2018,592025,POINT (-87.9065 43.0389),04/02/2023 4:08:42 AM,"City of Milwaukee, WI"
"Cambridge, MA",United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),3,Stationary energy > Institutional buildings & facilities^,0,0305 Stationary energy > Institutional buildings & facilities^ - Outside Boundary,1,2019,116632,POINT (-71.1057 42.3674),04/02/2023 4:08:42 AM,"City of Cambridge, MA"
Phoenix,United States of America,CH4; CO2; N2O,1,Direct emissions (metric tonnes CO2e)^,31,Total Emissions (excluding generation of grid-supplied energy),8475897,3101 Total Emissions (excluding generation of grid-supplied energy) - Direct,1,2020,1654675,POINT (-112.074 33.4484),04/02/2023 4:08:42 AM,"City of Phoenix, AZ"
Savannah,United States of America,CH4; CO2; N2O,1,Direct emissions (metric tonnes CO2e)^,23,AFOLU > Land use,0,2301 AFOLU > Land use - Direct,0,2016,144352,POINT (-81.0998 32.0835),04/02/2023 4:08:42 AM,"City of Savannah, GA"
Medford,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),7,Total Stationary Energy,0,0705 Total Stationary Energy - Outside Boundary,1,2020/2021,59662,POINT (-122.876 42.3265),04/02/2023 4:08:42 AM,"City of Medford, MA"
"Portland, OR",United States of America,CH4; CO2; N2O,3,"Indirect emissions from the use of grid-supplied electricity, heat, steam and/or cooling (metric tonnes CO2e)^",8,Transportation > On-road^,0,0803 Transportation > On-road^ - Indirect,1,2020,829560,POINT (-122.682 45.52),04/02/2023 4:08:42 AM,"City of Portland, OR"
,United States of America,CH4; CO2; HFCs; N2O; PFCs; SF6,1,Direct emissions (metric tonnes CO2e)^,10,Transportation > Waterborne navigation^,0,1001 Transportation > Waterborne navigation^ - Direct,1,2019,30569,,04/02/2023 4:08:42 AM,"City of Ithaca, NY"
,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),7,Total Stationary Energy,513,0705 Total Stationary Energy - Outside Boundary,1,2019,16293,,04/02/2023 4:08:42 AM,"Town of Durham, NH"
Boulder,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),25,Total AFOLU,0,2505 Total AFOLU - Outside Boundary,0,2021/2022,108250,POINT (-105.252 40.0274),04/02/2023 4:08:42 AM,"City of Boulder, CO"
Boston,United States of America,CH4; CO2; N2O,1,Direct emissions (metric tonnes CO2e)^,14,Waste > Solid waste disposal^,0,1401 Waste > Solid waste disposal^ - Direct,1,2020,675647,POINT (-71.0598 42.3584),04/02/2023 4:08:42 AM,"City of Boston, MA"
Reno,United States of America,CH4; CO2; HFCs; N2O; NF3; PFCs; SF6,3,"Indirect emissions from the use of grid-supplied electricity, heat, steam and/or cooling (metric tonnes CO2e)^",11,Transportation > Aviation^,0,1103 Transportation > Aviation^ - Indirect,1,2020,264165,POINT (-119.814 39.5296),04/02/2023 4:08:42 AM,"City of Reno, NV"
Albany,United States of America,CO2,1,Direct emissions (metric tonnes CO2e)^,3,Stationary energy > Institutional buildings & facilities^,0,0301 Stationary energy > Institutional buildings & facilities^ - Direct,1,2019,99224,POINT (-73.7562 42.6526),04/02/2023 4:08:42 AM,"City of Albany, NY"
Albany,United States of America,CO2,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),21,Total IPPU,0,2105 Total IPPU - Outside Boundary,0,2019,99224,POINT (-73.7562 42.6526),04/02/2023 4:08:42 AM,"City of Albany, NY"
,United States of America,CH4; CO2; HFCs; N2O; NF3; PFCs; SF6,1,Direct emissions (metric tonnes CO2e)^,30,Total generation of grid-supplied energy,7459906,3001 Total generation of grid-supplied energy - Direct,1,2019,8577735,,04/02/2023 4:08:42 AM,Chicago Metropolitan Mayors Caucus
Los Angeles,United States of America,CH4; CO2; HFCs; N2O; PFCs,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),3,Stationary energy > Institutional buildings & facilities^,0,0305 Stationary energy > Institutional buildings & facilities^ - Outside Boundary,1,2020,3898747,POINT (-118.244 34.0522),04/02/2023 4:08:42 AM,"City of Los Angeles, CA"
Bloomington,United States of America,CH4; CO2; N2O,3,"Indirect emissions from the use of grid-supplied electricity, heat, steam and/or cooling (metric tonnes CO2e)^",11,Transportation > Aviation^,0,1103 Transportation > Aviation^ - Indirect,1,2018,85000,POINT (-86.5264 39.1653),04/02/2023 4:08:42 AM,"City of Bloomington, IN"
San Antonio,United States of America,CH4; CO2; HFCs; N2O; NF3; PFCs; SF6,3,"Indirect emissions from the use of grid-supplied electricity, heat, steam and/or cooling (metric tonnes CO2e)^",13,Total Transport,683.42,1303 Total Transport - Indirect,1,2019,1451853,POINT (-98.4936 29.4241),04/02/2023 4:08:42 AM,"City of San Antonio, TX"
,United States of America,CH4; CO2; N2O,1,Direct emissions (metric tonnes CO2e)^,12,Transportation > Off-road^,3264,1201 Transportation > Off-road^ - Direct,1,2019,60207,,04/02/2023 4:08:42 AM,"San Rafael, CA"
Manhattan Beach,United States of America,CO2,1,Direct emissions (metric tonnes CO2e)^,12,Transportation > Off-road^,0,1201 Transportation > Off-road^ - Direct,1,2020,35064,POINT (-118.405 33.8889),04/02/2023 4:08:42 AM,"City of Manhattan Beach, CA"
Arlington,United States of America,CH4; CO2; N2O,1,Direct emissions (metric tonnes CO2e)^,27,Generation of grid-supplied energy > CHP generation^,0,2701 Generation of grid-supplied energy > CHP generation^ - Direct,1,2016,228800,POINT (-76.0026 37.2265),04/02/2023 4:08:42 AM,"Arlington, VA"
Breckenridge,United States of America,CH4; CO2; N2O,1,Emissions (metric tonnes CO2e),9,Transportation – Scope 2,3035,0901 Transportation – Scope 2,1,2020,4947,POINT (106.038 39.4817),04/02/2023 4:08:42 AM,"Town of Breckenridge, CO"
"Santa Cruz, CA",United States of America,CH4; CO2; N2O,1,Direct emissions (metric tonnes CO2e)^,10,Transportation > Waterborne navigation^,0,1001 Transportation > Waterborne navigation^ - Direct,1,2019,65041,POINT (-122.031 36.9741),04/02/2023 4:08:42 AM,"City of Santa Cruz, CA"
Berkeley,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),10,Transportation > Waterborne navigation^,0,1005 Transportation > Waterborne navigation^ - Outside Boundary,0,2020,124321,,04/02/2023 4:08:42 AM,"City of Berkeley, CA"
Aurora,United States of America,,1,Direct emissions (metric tonnes CO2e)^,23,AFOLU > Land use,0,2301 AFOLU > Land use - Direct,0,,0,POINT (41.7606 88.3201),04/02/2023 4:08:42 AM,"City of Aurora, IL"
Berkeley,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),25,Total AFOLU,0,2505 Total AFOLU - Outside Boundary,0,2020,124321,,04/02/2023 4:08:42 AM,"City of Berkeley, CA"
,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),22,AFOLU > Livestock,0,2205 AFOLU > Livestock - Outside Boundary,0,2018,23203,,04/02/2023 4:08:42 AM,"City of Greenbelt, MD"
Charlottesville,United States of America,CH4; CO2; N2O,1,Direct emissions (metric tonnes CO2e)^,8,Transportation > On-road^,73962.21,0801 Transportation > On-road^ - Direct,1,2020,46553,POINT (-78.4767 38.0293),04/02/2023 4:08:42 AM,"City of Charlottesville, VA"
Milwaukee,United States of America,CO2,3,"Indirect emissions from the use of grid-supplied electricity, heat, steam and/or cooling (metric tonnes CO2e)^",1,Stationary energy > Residential buildings^,1126002,0103 Stationary energy > Residential buildings^ - Indirect,1,2018,592025,POINT (-87.9065 43.0389),04/02/2023 4:08:42 AM,"City of Milwaukee, WI"
San Francisco,United States of America,CH4; CO2; N2O,1,Direct emissions (metric tonnes CO2e)^,6,Stationary energy > Fugitive emissions^,228063,0601 Stationary energy > Fugitive emissions^ - Direct,1,2019,881549,POINT (-122.419 37.7749),04/02/2023 4:08:42 AM,"City of San Francisco, CA"
,United States of America,CH4; CO2; N2O,3,"Indirect emissions from the use of grid-supplied electricity, heat, steam and/or cooling (metric tonnes CO2e)^",1,Stationary energy > Residential buildings^,22158.49,0103 Stationary energy > Residential buildings^ - Indirect,1,2019,23000,,04/02/2023 4:08:42 AM,"City of Oxford, OH"
,United States of America,CH4; CO2; N2O,3,"Indirect emissions from the use of grid-supplied electricity, heat, steam and/or cooling (metric tonnes CO2e)^",11,Transportation > Aviation^,0,1103 Transportation > Aviation^ - Indirect,1,2020,54583,,04/02/2023 4:08:42 AM,"Village of Oak Park, IL"
Los Angeles,United States of America,CH4; CO2; HFCs; N2O; PFCs,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),25,Total AFOLU,0,2505 Total AFOLU - Outside Boundary,0,2020,3898747,POINT (-118.244 34.0522),04/02/2023 4:08:42 AM,"City of Los Angeles, CA"
Miami Beach,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),20,IPPU > Product use,0,2005 IPPU > Product use - Outside Boundary,0,2019,88885,POINT (-80.13 25.7906),04/02/2023 4:08:42 AM,"City of Miami Beach, FL"
,United States of America,CH4; CO2; N2O,1,Direct emissions (metric tonnes CO2e)^,21,Total IPPU,0,2101 Total IPPU - Direct,0,2019,23000,,04/02/2023 4:08:42 AM,"City of Oxford, OH"
,United States of America,,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),14,Waste > Solid waste disposal^,0,1405 Waste > Solid waste disposal^ - Outside Boundary,0,,0,,04/02/2023 4:08:42 AM,"City of Beverly, MA"
New Orleans,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),30,Total generation of grid-supplied energy,0,3005 Total generation of grid-supplied energy - Outside Boundary,0,2017,391493,POINT (-90.0715 29.9511),04/02/2023 4:08:42 AM,"City of New Orleans, LA"
,United States of America,CH4; CO2; HFCs; N2O; NF3; PFCs; SF6,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),21,Total IPPU,0,2105 Total IPPU - Outside Boundary,0,2019,8577735,,04/02/2023 4:08:42 AM,Chicago Metropolitan Mayors Caucus
Phoenix,United States of America,CH4; CO2; N2O,3,"Indirect emissions from the use of grid-supplied electricity, heat, steam and/or cooling (metric tonnes CO2e)^",3,Stationary energy > Institutional buildings & facilities^,0,0303 Stationary energy > Institutional buildings & facilities^ - Indirect,1,2020,1654675,POINT (-112.074 33.4484),04/02/2023 4:08:42 AM,"City of Phoenix, AZ"
,United States of America,,1,Direct emissions (metric tonnes CO2e)^,27,Generation of grid-supplied energy > CHP generation^,0,2701 Generation of grid-supplied energy > CHP generation^ - Direct,0,,0,,04/02/2023 4:08:42 AM,"City of Urbana, IL"
San Antonio,United States of America,CH4; CO2; HFCs; N2O; NF3; PFCs; SF6,3,"Indirect emissions from the use of grid-supplied electricity, heat, steam and/or cooling (metric tonnes CO2e)^",4,Stationary energy > Industrial buildings & facilities^,1,0403 Stationary energy > Industrial buildings & facilities^ - Indirect,1,2019,1451853,POINT (-98.4936 29.4241),04/02/2023 4:08:42 AM,"City of San Antonio, TX"
Memphis,United States of America,CH4; CO2; N2O,1,Direct emissions (metric tonnes CO2e)^,30,Total generation of grid-supplied energy,2052290.49,3001 Total generation of grid-supplied energy - Direct,1,2019,937166,POINT (-90.049 35.1495),04/02/2023 4:08:42 AM,"City of Memphis, TN"
Providence,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),14,Waste > Solid waste disposal^,25577,1405 Waste > Solid waste disposal^ - Outside Boundary,1,2018,179435,POINT (-71.4128 41.824),04/02/2023 4:08:42 AM,"City of Providence, RI"
San Francisco,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),20,IPPU > Product use,0,2005 IPPU > Product use - Outside Boundary,0,2019,881549,POINT (-122.419 37.7749),04/02/2023 4:08:42 AM,"City of San Francisco, CA"
Hayward,United States of America,CH4; CO2; N2O,1,Direct emissions (metric tonnes CO2e)^,16,Waste > Incineration and open burning^,0,1601 Waste > Incineration and open burning^ - Direct,1,2019,160197,POINT (-122.081 37.6689),04/02/2023 4:08:42 AM,"City of Hayward, CA"
,United States of America,CH4; CO2; HFCs; N2O; NF3; PFCs; SF6,3,"Indirect emissions from the use of grid-supplied electricity, heat, steam and/or cooling (metric tonnes CO2e)^",3,Stationary energy > Institutional buildings & facilities^,2670,0303 Stationary energy > Institutional buildings & facilities^ - Indirect,1,2018,19200,,04/02/2023 4:08:42 AM,"Ferndale, MI"
Saint Paul,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),3,Stationary energy > Institutional buildings & facilities^,0,0305 Stationary energy > Institutional buildings & facilities^ - Outside Boundary,0,2020,305887,POINT (-93.09 44.9537),04/02/2023 4:08:42 AM,"City of Saint Paul, MN"
,United States of America,CH4; CO2; HFCs; N2O; NF3; PFCs; SF6,3,"Indirect emissions from the use of grid-supplied electricity, heat, steam and/or cooling (metric tonnes CO2e)^",8,Transportation > On-road^,0,0803 Transportation > On-road^ - Indirect,0,2018,19200,,04/02/2023 4:08:42 AM,"Ferndale, MI"
,United States of America,CH4; CO2; HFCs; N2O; PFCs; SF6,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),31,Total Emissions (excluding generation of grid-supplied energy),26180,3105 Total Emissions (excluding generation of grid-supplied energy) - Outside Boundary,1,2019,30569,,04/02/2023 4:08:42 AM,"City of Ithaca, NY"
Oakland,United States of America,CH4; CO2; N2O,1,Direct emissions (metric tonnes CO2e)^,29,Generation of grid-supplied energy > Local renewable generation,0,2901 Generation of grid-supplied energy > Local renewable generation - Direct,1,2019,433044,POINT (-122.271 37.8044),04/02/2023 4:08:42 AM,"City of Oakland, CA"
Chula Vista,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),25,Total AFOLU,0,2505 Total AFOLU - Outside Boundary,0,2020,272202,POINT (-117.084 32.64),04/02/2023 4:08:42 AM,"City of Chula Vista, CA"
Minneapolis,United States of America,CH4; CO2; N2O,3,"Indirect emissions from the use of grid-supplied electricity, heat, steam and/or cooling (metric tonnes CO2e)^",10,Transportation > Waterborne navigation^,0,1003 Transportation > Waterborne navigation^ - Indirect,1,2020,436000,POINT (-93.2667 44.9833),04/02/2023 4:08:42 AM,"City of Minneapolis, MN"
Lansing,United States of America,,3,"Indirect emissions from the use of grid-supplied electricity, heat, steam and/or cooling (metric tonnes CO2e)^",3,Stationary energy > Institutional buildings & facilities^,0,0303 Stationary energy > Institutional buildings & facilities^ - Indirect,0,,0,POINT (-84.5555 42.7325),04/02/2023 4:08:42 AM,"City of Lansing, MI"
Medford,United States of America,CH4; CO2; N2O,3,"Indirect emissions from the use of grid-supplied electricity, heat, steam and/or cooling (metric tonnes CO2e)^",31,Total Emissions (excluding generation of grid-supplied energy),55866,3103 Total Emissions (excluding generation of grid-supplied energy) - Indirect,1,2020/2021,59662,POINT (-122.876 42.3265),04/02/2023 4:08:42 AM,"City of Medford, MA"
Easton,United States of America,CO2,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),24,AFOLU > Other AFOLU,0,2405 AFOLU > Other AFOLU - Outside Boundary,0,2018,27000,POINT (-75.2207 40.6884),04/02/2023 4:08:42 AM,"City of Easton, PA"
Dubuque,United States of America,CH4; CO2,1,Direct emissions (metric tonnes CO2e)^,3,Stationary energy > Institutional buildings & facilities^,0,0301 Stationary energy > Institutional buildings & facilities^ - Direct,0,2018,58410,POINT (-90.5071 42.5006),04/02/2023 4:08:42 AM,"City of Dubuque, IA"
,United States of America,CH4; CO2; N2O,1,Direct emissions (metric tonnes CO2e)^,11,Transportation > Aviation^,0,1101 Transportation > Aviation^ - Direct,1,2019,7500,,04/02/2023 4:08:42 AM,"Village of Hastings-on-Hudson, NY"
Dubuque,United States of America,CH4; CO2,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),4,Stationary energy > Industrial buildings & facilities^,0,0405 Stationary energy > Industrial buildings & facilities^ - Outside Boundary,0,2018,58410,POINT (-90.5071 42.5006),04/02/2023 4:08:42 AM,"City of Dubuque, IA"
Evanston,United States of America,,1,Direct emissions (metric tonnes CO2e)^,4,Stationary energy > Industrial buildings & facilities^,0,0401 Stationary energy > Industrial buildings & facilities^ - Direct,0,,0,POINT (-87.6898 42.0669),04/02/2023 4:08:42 AM,"City of Evanston, IL"
Dubuque,United States of America,CH4; CO2,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),31,Total Emissions (excluding generation of grid-supplied energy),0,3105 Total Emissions (excluding generation of grid-supplied energy) - Outside Boundary,0,2018,58410,POINT (-90.5071 42.5006),04/02/2023 4:08:42 AM,"City of Dubuque, IA"
"San José, CA",United States of America,CH4; CO2; HFCs; N2O; NF3; PFCs; SF6,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),23,AFOLU > Land use,0,2305 AFOLU > Land use - Outside Boundary,0,2019,1047871,POINT (-121.886 37.3382),04/02/2023 4:08:42 AM,"City of San José, CA"
,United States of America,CH4; CO2; HFCs; N2O; PFCs; SF6,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),18,Total Waste,26180,1805 Total Waste - Outside Boundary,1,2019,30569,,04/02/2023 4:08:42 AM,"City of Ithaca, NY"
Park City,United States of America,CH4; CO2; N2O,1,Direct emissions (metric tonnes CO2e)^,25,Total AFOLU,52,2501 Total AFOLU - Direct,1,2016,8299,POINT (-111.498 40.6461),04/02/2023 4:08:42 AM,"City of Park City, UT"
Charlottesville,United States of America,CH4; CO2; N2O,3,"Indirect emissions from the use of grid-supplied electricity, heat, steam and/or cooling (metric tonnes CO2e)^",12,Transportation > Off-road^,0,1203 Transportation > Off-road^ - Indirect,1,2020,46553,POINT (-78.4767 38.0293),04/02/2023 4:08:42 AM,"City of Charlottesville, VA"
,United States of America,CH4; CO2; HFCs; N2O; PFCs; SF6,1,Direct emissions (metric tonnes CO2e)^,12,Transportation > Off-road^,0,1201 Transportation > Off-road^ - Direct,1,2019,30569,,04/02/2023 4:08:42 AM,"City of Ithaca, NY"
,United States of America,CH4; CO2; N2O,1,Direct emissions (metric tonnes CO2e)^,4,Stationary energy > Industrial buildings & facilities^,1637322,0401 Stationary energy > Industrial buildings & facilities^ - Direct,1,2020,1253889,,04/02/2023 4:08:42 AM,"Cuyahoga County, OH"
South Bend,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),7,Total Stationary Energy,0,0705 Total Stationary Energy - Outside Boundary,0,2021,103453,POINT (41.6754 -86.2532),04/02/2023 4:08:42 AM,"City of South Bend, IN"
